,richness,shannon,invsimpson,simpson,pielou,PD
X10_10N_H_N_1,7478,7.930412118,576.9660857,0.998266796,0.889087498,76.94305
X10_10S_H_C_1,7099,7.886358419,661.3395019,0.998487917,0.889334352,73.59712
X10_11N_N_N_0,6784,7.613247339,304.353615,0.996714348,0.862952767,73.8503
X10_11S_N_C_0,7229,7.799725886,474.7721736,0.997893727,0.877768658,73.18974
X10_12N_N_N_2,6385,7.453898971,235.079772,0.995746125,0.850735955,71.17397
X10_12S_N_C_2,7256,7.830417264,411.2939487,0.997568649,0.88085306,82.16071
X10_13N_N_N_0,6906,7.725001433,443.1560971,0.997743459,0.87385452,77.90731
X10_13S_N_C_0,6573,7.611904945,376.3549535,0.997342934,0.865901777,75.18512
X10_14N_N_N_2,6667,7.550903277,125.4203501,0.992026812,0.857577214,73.51625
X10_14S_N_C_2,6916,7.646610654,223.2124622,0.995519963,0.864845372,74.66682
X10_15N_H_N_0,6327,7.652276477,455.9925081,0.997806982,0.874287946,71.35053
X10_15S_H_C_0,5577,7.346181757,313.6854926,0.996812094,0.851592369,65.69609
X10_16N_H_N_1,6864,7.783855995,400.7256329,0.997504527,0.881120192,74.48246
X10_16S_H_C_1,6122,6.642111807,25.84206543,0.961303403,0.761741158,65.52468
X10_17N_N_N_2,6893,7.864138457,654.0657338,0.998471102,0.889783392,73.41822
X10_17S_N_C_2,6209,7.359798094,126.6152901,0.99210206,0.842684273,68.1086
X10_18N_H_N_0,6940,7.744634962,469.376356,0.997869513,0.875589034,81.341
X10_18S_H_C_0,7045,7.78007888,450.6992396,0.997781225,0.878105463,74.58111
X10_19N_N_N_1,7872,8.078232063,624.0779336,0.998397636,0.900476127,83.8735
X10_19S_N_C_1,6973,7.840836141,495.8458709,0.997983244,0.885990125,77.22766
X10_1N_H_N_1,5892,7.184786931,221.5093344,0.995485518,0.827611637,73.14294
X10_1S_H_C_1,6886,7.248992331,44.04592968,0.977296427,0.820277338,70.68381
X10_20N_H_N_1,6915,7.856788536,641.3396553,0.998440764,0.888631401,70.6819
X10_20S_H_C_1,6989,7.817029553,412.2088419,0.997574045,0.883071355,74.64063
X10_21N_H_N_2,5413,7.187617841,200.4081824,0.995010184,0.83610408,64.33311
X10_21S_H_C_2,6094,7.520424376,288.6795349,0.996535951,0.86292285,66.88413
X10_22N_H_N_2,6764,7.773068238,453.6030072,0.997795429,0.881363237,73.22663
X10_22S_H_C_2,7536,7.963510543,478.2712694,0.997909136,0.892025537,80.27205
X10_23N_N_N_1,6599,7.555618743,303.443302,0.996704491,0.859113056,66.16966
X10_23S_N_C_1,7112,7.805846327,302.322077,0.996692269,0.880073533,81.43652
X10_24N_N_N_0,7145,8.014554373,1011.114215,0.999010992,0.903133036,87.74465
