,richness,shannon,invsimpson,simpson,pielou,PD
X14_10N_H_N_1,306,3.124143747,9.178756584,0.891052781,0.545836865,7.86582
X14_10S_H_C_1,305,3.716346582,20.12498058,0.950310511,0.649675529,3.94015
X14_11N_N_N_0,427,3.783250913,10.47851633,0.904566642,0.624630316,8.18321
X14_11S_N_C_0,238,1.543395617,1.931867187,0.482366072,0.282039341,5.49507
X14_12N_N_N_2,381,3.484249779,14.21662411,0.929659813,0.586297729,10.40208
X14_12S_N_C_2,359,3.534405776,10.60975187,0.905747089,0.600749975,6.72095
X14_13N_N_N_0,295,3.16961077,11.26455541,0.911225968,0.557345614,6.29395
X14_13S_N_C_0,352,3.581607364,14.42143336,0.930658765,0.6108173,7.79291
X14_14N_N_N_2,300,1.708278328,1.856416277,0.461327714,0.299499207,7.36599
X14_14S_N_C_2,341,2.55910945,3.982549166,0.748904544,0.438813618,6.28272
X14_15N_H_N_0,327,3.552985827,10.76020894,0.907065002,0.613645988,7.94392
X14_15S_H_C_0,344,3.759938381,14.66569785,0.931813678,0.643754334,6.91525
X14_16N_H_N_1,154,1.29498867,1.645230863,0.392182567,0.257097649,3.74882
X14_16S_H_C_1,405,3.90614194,19.85796537,0.949642374,0.650602168,10.24626
X14_17N_N_N_2,562,4.478921906,32.08799903,0.968835701,0.707402764,11.82224
X14_17S_N_C_2,692,4.917529803,46.50979991,0.978499155,0.751963478,11.94562
X14_18N_H_N_0,363,3.572083064,12.2054785,0.918069578,0.606012715,6.41687
X14_18S_H_C_0,451,4.229953223,30.04638716,0.966718128,0.692133818,10.44388
X14_19N_N_N_1,458,4.058469778,20.79164352,0.951903754,0.662405163,8.64223
X14_19S_N_C_1,270,2.057225086,2.665912404,0.624893902,0.367465172,7.80889
X14_1N_H_N_1,123,1.540111318,2.30078213,0.565365192,0.320044122,2.84326
X14_1S_H_C_1,352,3.71691527,17.48005946,0.942791957,0.633893088,8.32611
X14_20N_H_N_1,308,3.254728976,10.09018395,0.900893779,0.568005637,7.64051
X14_20S_H_C_1,242,1.811560904,2.299984936,0.565214544,0.330038524,4.89898
X14_21N_H_N_2,417,3.868875587,16.90988283,0.940862985,0.641276363,8.69705
X14_21S_H_C_2,292,2.958826565,6.834648431,0.853686695,0.521218053,8.0933
X14_22N_H_N_2,175,1.596202259,2.175358978,0.540305756,0.30905487,4.95195
X14_22S_H_C_2,536,3.887147092,7.979356356,0.874676609,0.618565262,12.36466
X14_23N_N_N_1,395,3.700012476,14.47423405,0.930911715,0.618846491,7.54573
X14_23S_N_C_1,187,2.065057016,4.42232612,0.773874659,0.394764699,4.68776
X14_24N_N_N_0,302,2.057853925,2.633921082,0.620337903,0.360367783,6.65007
X14_24S_N_C_0,475,3.977694769,16.54171204,0.939546765,0.645382379,10.48849
X14_2N_H_N_0,168,1.620404335,2.173983398,0.540014886,0.316240384,5.35558
X14_2S_H_C_0,170,1.703166884,2.765370114,0.638384752,0.331626505,4.62931
X14_3N_N_N_1,457,3.895368806,13.10888143,0.923715841,0.636011457,11.63817
X14_3S_N_C_1,380,3.558058997,8.490144937,0.882216381,0.598982562,6.92863
X14_4N_H_N_2,304,3.105637062,6.144443036,0.837251319,0.54322582,7.59308
X14_4S_H_C_2,485,4.374002293,30.32170197,0.967020321,0.707292526,10.69194
X14_5N_H_N_0,269,2.731789101,4.58046861,0.781681726,0.488280613,6.50924
X14_5S_H_C_0,417,3.882422412,19.11272465,0.947678836,0.643521785,8.28656
X14_6N_N_N_1,291,2.961303099,7.686816918,0.86990714,0.521969745,7.77692
X14_6S_N_C_1,360,3.940102958,23.69499244,0.95779699,0.669390642,6.52169
X14_7N_H_N_2,297,3.383180758,12.86278598,0.922256345,0.594193874,6.64214
X14_7S_H_C_2,334,2.903171115,3.849010374,0.740192958,0.499587107,7.73279
X14_8N_N_N_0,217,2.197846196,3.076454331,0.674950481,0.408529392,4.08732
X14_8S_N_C_0,637,4.786254209,45.21160909,0.977881787,0.741276902,11.40324
X14_9N_N_N_2,534,4.589947851,39.36869622,0.974599108,0.73083735,10.36329
X14_9S_N_C_2,444,4.15924895,25.28293169,0.960447625,0.682311131,7.50854
X15_10N_H_N_1,322,3.39797161,9.349010287,0.893036806,0.588439047,5.21035
X15_10S_H_C_1,475,2.991225374,5.029197223,0.801161109,0.485327372,11.01422
X15_11N_N_N_0,735,4.80993968,36.00639689,0.972227157,0.728793039,14.23685
X15_11S_N_C_0,707,4.466549222,21.69980348,0.953916633,0.680769448,13.01668
X15_12N_N_N_2,262,2.386371695,4.709691163,0.787671853,0.428560355,7.92486
X15_12S_N_C_2,712,4.889716132,49.631406,0.979851467,0.744466829,13.03473
X15_13N_N_N_0,760,4.522181837,25.77778543,0.961206908,0.681737487,14.29971
X15_13S_N_C_0,558,4.01811602,18.27180133,0.945270859,0.635339652,12.75539
X15_14N_N_N_2,519,3.9589469,15.52502859,0.93558788,0.633238606,9.62804
